FullPath,Directory,FileName,ShortFileName,CreationTime,LastAccessTime,LastWriteTime,Size,AttributeArchive,AttributeCompressed,AttributeEncrypted,AttributeHidden,AttributeNormal,AttributeOffline,AttributeReadonly,AttributeReparsePoint,AttributeSparseFile,AttributeSystem,AttributeTemporary
U:\server_logs\FBL\eccvas3016\serverlogs_backup\2019\Feb\Feb.15-2019\GENERIC_3008.log,U:\server_logs\FBL\eccvas3016\serverlogs_backup\2019\Feb\Feb.15-2019\,GENERIC_3008.log,,2/8/2019 18:06,8/29/2019 14:04,2/15/2019 16:36,189421071,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
U:\server_logs\FBL\eccvas3016\serverlogs_backup\2019\Feb\Feb.22-2019\GENERIC_3008.log,U:\server_logs\FBL\eccvas3016\serverlogs_backup\2019\Feb\Feb.22-2019\,GENERIC_3008.log,,2/15/2019 18:23,8/29/2019 14:05,2/22/2019 16:43,187200737,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
U:\server_logs\FBL\eccvas3016\serverlogs_backup\2019\Feb\Feb.22-2019.failed start\GENERIC_3008.log,U:\server_logs\FBL\eccvas3016\serverlogs_backup\2019\Feb\Feb.22-2019.failed start\,GENERIC_3008.log,,2/22/2019 19:50,2/22/2019 20:05,2/22/2019 19:51,6169,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
U:\server_logs\FBL\eccvas3016\serverlogs_backup\2019\Jan\Jan.07\GENERIC_3008.log,U:\server_logs\FBL\eccvas3016\serverlogs_backup\2019\Jan\Jan.07\,GENERIC_3008.log,,12/21/2018 16:38,8/29/2019 14:06,1/7/2019 15:56,14340328,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
U:\server_logs\FBL\eccvas3016\serverlogs_backup\2019\Jan\Jan.10\GENERIC_3008.log,U:\server_logs\FBL\eccvas3016\serverlogs_backup\2019\Jan\Jan.10\,GENERIC_3008.log,,1/7/2019 17:24,8/29/2019 14:07,1/10/2019 22:35,13594687,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
U:\server_logs\FBL\eccvas3016\serverlogs_backup\2019\Jan\Jan.11\GENERIC_3008.log,U:\server_logs\FBL\eccvas3016\serverlogs_backup\2019\Jan\Jan.11\,GENERIC_3008.log,,1/11/2019 16:31,8/29/2019 14:08,1/11/2019 16:28,3407929,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
U:\server_logs\FBL\eccvas3016\serverlogs_backup\2019\Jan\Jan.18\GENERIC_3008.log,U:\server_logs\FBL\eccvas3016\serverlogs_backup\2019\Jan\Jan.18\,GENERIC_3008.log,,1/11/2019 18:06,8/29/2019 14:08,1/18/2019 15:36,26159437,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
U:\server_logs\FBL\eccvas3016\serverlogs_backup\2019\Jan\Jan.25\GENERIC_3008.log,U:\server_logs\FBL\eccvas3016\serverlogs_backup\2019\Jan\Jan.25\,GENERIC_3008.log,,1/18/2019 16:20,8/29/2019 14:08,1/25/2019 15:36,30046986,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
U:\server_logs\FBL\eccvas3016\serverlogs_backup\2019\July\Jul.12.2019\GENERIC_3008.log,U:\server_logs\FBL\eccvas3016\serverlogs_backup\2019\July\Jul.12.2019\,GENERIC_3008.log,,7/9/2019 16:50,8/29/2019 14:08,7/12/2019 15:33,106322177,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
U:\server_logs\FBL\eccvas3016\serverlogs_backup\2019\July\Jul.26.2019\GENERIC_3008.log,U:\server_logs\FBL\eccvas3016\serverlogs_backup\2019\July\Jul.26.2019\,GENERIC_3008.log,,7/12/2019 16:06,8/29/2019 14:08,7/26/2019 15:32,323783598,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
U:\server_logs\FBL\eccvas3016\serverlogs_backup\2019\July\Jul.31.2019\GENERIC_3008.log,U:\server_logs\FBL\eccvas3016\serverlogs_backup\2019\July\Jul.31.2019\,GENERIC_3008.log,,7/26/2019 16:01,8/29/2019 14:09,7/31/2019 19:16,106350732,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
U:\server_logs\FBL\eccvas3016\serverlogs_backup\2019\July\Jul.9.2019\GENERIC_3008.log,U:\server_logs\FBL\eccvas3016\serverlogs_backup\2019\July\Jul.9.2019\,GENERIC_3008.log,,6/28/2019 17:56,8/29/2019 14:09,7/9/2019 16:30,209150128,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
